# OASF 1.0.0 domains taxonomy — vendored path -> uid (slash-delimited machine names).
# Source: schema.oasf.outshift.com/api/domains (cross-check against github.com/agntcy/oasf).
# uids are explicitly assigned per node (NOT a single formula): always look up, never compute.
# Generated by slice 2 (#4518) directly from the hosted schema (complete tree).
# Format: <slash/path>\t<uid>   ('#' comments and blank lines ignored)

retail_and_ecommerce/order_fulfillment	2004
retail_and_ecommerce/point_of_sale	2005
retail_and_ecommerce/retail_analytics	2006
social_services/case_management	2101
social_services/child_and_family_services	2102
social_services/community_outreach	2103
social_services/disability_services	2104
social_services/housing_assistance	2105
social_services/mental_health_services	2106
sports_and_fitness/athletic_training	2201
sports_and_fitness/fitness_and_wellness	2202
sports_and_fitness/sports_analytics	2203
sports_and_fitness/sports_management	2204
sports_and_fitness/sports_medicine	2205
sports_and_fitness/sports_technology	2206
insurance/actuarial_science	2301
insurance/claims_processing	2302
insurance/insurance_sales	2303
insurance/insurtech	2304
insurance/policy_management	2305
insurance/underwriting	2306
marketing_and_advertising/advertising	2401
marketing_and_advertising/brand_management	2402
marketing_and_advertising/digital_marketing	2403
marketing_and_advertising/market_research	2404
marketing_and_advertising/marketing_analytics	2405
marketing_and_advertising/marketing_automation	2406
technology/internet_of_things/iot_devices	10101
technology/internet_of_things/iot_security	10102
technology/internet_of_things/iot_networks	10103
technology/internet_of_things/smart_homes	10104
technology/internet_of_things/industrial_iot	10105
technology/software_engineering/software_development	10201
technology/software_engineering/devops	10202
technology/software_engineering/quality_assurance	10203
technology/software_engineering/apis_integration	10204
technology/software_engineering/mlops	10205
technology/networking/network_operations	10301
technology/networking/network_management	10302
technology/networking/network_protocols	10303
technology/networking/network_architecture	10304
technology/networking/network_security	10305
technology/data_science/big_data	10401
technology/data_science/data_visualization	10402
technology/data_science/data_engineering	10403
technology/cloud_computing/aws	10501
technology/cloud_computing/azure	10502
technology/cloud_computing/gcp	10503
technology/information_technology/performance_analysis	10601
technology/information_technology/system_administration	10602
technology/information_technology/database_administration	10603
technology/information_technology/help_desk_support	10604
technology/security/cybersecurity	10701
technology/security/data_security	10702
technology/security/application_security	10703
technology/security/cyber_network_security	10704
technology/security/identity_management	10705
technology/security/incident_management	10706
technology/communication_systems/telecommunication	10801
technology/communication_systems/wireless_communication	10802
technology/communication_systems/signal_processing	10803
technology/communication_systems/broadcasting_systems	10804
technology/blockchain/cryptocurrency	10901
technology/blockchain/defi	10902
technology/blockchain/smart_contracts	10903
technology/process_automation/rpa	11001
technology/process_automation/workflow_automation	11002
